名次,上次,aid,标题,mid,up主,投稿时间,时长,分P数,播放增量,弹幕增量,评论增量,收藏增量,硬币增量,分享增量,点赞增量,Pt,修正A,修正B,修正C,Last Pt,rate,长期入榜及期数,新曲排名
1,——,513252639,【JO如止水】,19667124,三国杀绿帽,2022/07/13 10:00,185,1,324007,947,176,20007,23823,2413,47791,1940295.0,0.389,27.055,0.935,,,,
2,NEW,216834690,【官方中文版feat.沨漪】离去之原【Mikito P】,108833238,みきとP_mikitoP,2022/08/08 19:00,275,1,49291,116,774,4457,5728,2599,8126,852949.0,1.0,41.326,0.848,,,,1
3,——,259185364,【虚拟歌手全员  x  原神联动】异世相遇 我们联合2,453137433,教皇枫决吖,2022/08/04 13:30,192,1,97222,906,437,2562,1156,425,8524,420251.0,1.0,7.134,0.789,,,,
4,NEW,941686982,【星尘x海伊原创】橘子与柠檬【2022虚拟歌手创作赛】,1130218954,复咂猪,2022/08/05 19:30,195,1,10499,26,216,1887,1186,252,2148,269756.0,1.0,58.539,0.828,,,,2
5,NEW,814352846,【星尘Infinity原创曲】夏云【Kevinz/某只泽】,3334365,-Kevinz-,2022/08/07 23:10,306,1,6560,20,180,1116,923,208,1452,189089.0,1.0,62.165,0.789,,,,3
6,——,898815542,【公子】心如止水 ，这愚人众不待也罢！！！,88914391,士织吖,2022/07/27 18:00,168,1,230716,133,66,11336,2609,569,25239,182037.0,0.123,6.785,0.984,,,,
7,NEW,686697871,【牧心Plus】プラネテス【SYNTHESIZER V COVER】,3241451,Creuzer,2022/08/07 14:25,150,1,9420,14,149,1253,676,186,2309,168575.0,1.0,40.955,0.86,,,,4
8,NEW,259278555,【官方中文版feat.沨漪】四十七【Mikito P】,108833238,みきとP_mikitoP,2022/08/10 19:00,294,1,16480,14,147,855,981,294,2424,146466.0,1.0,22.282,0.91,,,,5
9,——,456679355,《苍蝇》 赤羽 原创,3379951,ilem,2020/08/10 09:10,201,1,69977,97,72,3428,2083,467,4817,145952.0,0.236,15.751,0.96,,,,
10,——,984080268,送 走 失 恋 的 人,74550390,伊野奏,2022/08/01 20:40,114,1,21282,42,54,1083,381,491,2331,129526.0,1.0,10.741,0.935,,,,
